"concept_id_1","concept_name.x","total_patient_count","total_event_count","n","concepts","concepts2","percentile_rank","concept_code"
35626044,"Severe nonproliferative retinopathy of left eye due to diabetes mellitus",949,7243,2,"76.2%~Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, left eye (E08.3412)37200044;629 patients | 
23.8%~Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, left eye (E08.3492)37200048;320 patients","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, left eye | 
Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, left eye",0.226337448559671,"769188001"
36674199,"Proliferative retinopathy of right eye with diabetes mellitus",1609,7178,1,"100%~Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, right eye (E08.3591)37200075;1609 patients","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, right eye",0.224965706447188,"770765001"
36717300,"Lagophthalmos of bilateral eyelids",3146,6322,2,"74.2%~Unspecified lagophthalmos, bilateral, upper and lower eyelids (H02.20C)1595566;2724 patients | 
25.8%~Paralytic lagophthalmos, bilateral, upper and lower eyelids (H02.23C)1595575;422 patients","Unspecified lagophthalmos, bilateral, upper and lower eyelids | 
Paralytic lagophthalmos, bilateral, upper and lower eyelids",0.200274348422497,"11718681000119109"
3662369,"Paralytic ectropion of right lower eyelid",2062,5586,1,"100%~Paralytic ectropion of right lower eyelid (H02.152)1595558;2062 patients","Paralytic ectropion of right lower eyelid",0.190672153635117,"16907361000119100"
3657889,"Paralytic ectropion of left lower eyelid",2106,5402,1,"100%~Paralytic ectropion of left lower eyelid (H02.155)1595561;2106 patients","Paralytic ectropion of left lower eyelid",0.183813443072702,"16907441000119106"
37311300,"Cataract of right eye",2820,5325,1,"100%~Cataract with neovascularization, right eye (H26.211)45605649;2820 patients","Cataract with neovascularization, right eye",0.181069958847737,"816120008"
36674200,"Proliferative retinopathy of left eye due to diabetes mellitus",1251,5050,1,"100%~Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, left eye (E08.3592)37200076;1251 patients","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, left eye",0.176954732510288,"770766000"
3656988,"Interstitial keratitis of left eye",1378,4552,1,"100%~Other interstitial and deep keratitis, left eye (H16.392)45586392;1378 patients","Other interstitial and deep keratitis, left eye",0.165980795610425,"340301000119102"
3656903,"Interstitial keratitis of right eye",1355,4475,1,"100%~Other interstitial and deep keratitis, right eye (H16.391)45566987;1355 patients","Other interstitial and deep keratitis, right eye",0.16323731138546,"334701000119106"
37311301,"Cataract of left eye",2564,4209,1,"100%~Cataract with neovascularization, left eye (H26.212)45552642;2564 patients","Cataract with neovascularization, left eye",0.155006858710562,"816119002"
37311833,"Stable treated proliferative retinopathy of right eye due to diabetes mellitus",804,3857,1,"100%~Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, right eye (E08.3551)37200071;804 patients","Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, right eye",0.148148148148148,"816961009"
35626068,"Macular edema of left eye due to diabetes mellitus",186,3782,1,"100%~Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, left eye (E08.37X2)37200081;186 patients","Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, left eye",0.145404663923182,"769218003"
37209482,"Transplant failure of cornea of right eye",1480,3507,1,"100%~Corneal transplant failure, right eye (T86.8411)725614;1480 patients","Corneal transplant failure, right eye",0.141289437585734,"16058711000119104"
37209484,"Transplant failure of cornea of left eye",1418,3417,1,"100%~Corneal transplant failure, left eye (T86.8412)725615;1418 patients","Corneal transplant failure, left eye",0.135802469135802,"16058871000119104"
37311832,"Stable treated proliferative retinopathy of left eye due to diabetes mellitus",715,3181,1,"100%~Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, left eye (E08.3552)37200072;715 patients","Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, left eye",0.131687242798354,"816962002"
35626067,"Macular edema of right eye due to diabetes mellitus",258,2561,1,"100%~Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, right eye (E08.37X1)37200080;258 patients","Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, right eye",0.120713305898491,"769217008"
3656848,"Vitiligo of skin of right upper eyelid and periocular area",912,1457,1,"100%~Vitiligo of right upper eyelid and periocular area (H02.731)45586344;912 patients","Vitiligo of right upper eyelid and periocular area",0.0905349794238683,"330881000119101"
1244557,"Disorder of left eye proper",315,1449,1,"100%~Vogt-Koyanagi syndrome, left eye (H20.822)45567006;315 patients","Vogt-Koyanagi syndrome, left eye",0.0891632373113855,"1290030002"
37209483,"Transplant rejection of cornea of right eye",704,1417,1,"100%~Corneal transplant rejection, right eye (T86.8401)725610;704 patients","Corneal transplant rejection, right eye",0.0877914951989026,"16058831000119102"
37209481,"Transplant rejection of cornea of left eye",693,1381,1,"100%~Corneal transplant rejection, left eye (T86.8402)725611;693 patients","Corneal transplant rejection, left eye",0.0864197530864197,"16058671000119103"
3656850,"Vitiligo of skin of left upper eyelid and periocular area",691,1231,1,"100%~Vitiligo of left upper eyelid and periocular area (H02.734)45557286;691 patients","Vitiligo of left upper eyelid and periocular area",0.0809327846364883,"330911000119101"
42538746,"Retained magnetic foreign body in right eye",726,1119,2,"81.2%~Unspecified retained (old) intraocular foreign body, magnetic, right eye (H44.601)45557439;573 patients | 
18.8%~Retained (old) intraocular foreign body, magnetic, in other or multiple sites, right eye (H44.691)45591368;153 patients","Unspecified retained (old) intraocular foreign body, magnetic, right eye | 
Retained (old) intraocular foreign body, magnetic, in other or multiple sites, right eye",0.0754458161865569,"762524009"
42539563,"Retained magnetic foreign body in left eye",608,973,2,"77.9%~Unspecified retained (old) intraocular foreign body, magnetic, left eye (H44.602)45567076;462 patients | 
22.1%~Retained (old) intraocular foreign body, magnetic, in other or multiple sites, left eye (H44.692)45567078;146 patients","Unspecified retained (old) intraocular foreign body, magnetic, left eye | 
Retained (old) intraocular foreign body, magnetic, in other or multiple sites, left eye",0.0672153635116598,"762523003"
3661895,"Xeroderma of right upper eyelid",389,532,1,"100%~Xeroderma of right upper eyelid (H01.141)45547779;389 patients","Xeroderma of right upper eyelid",0.0438957475994513,"330821000119100"
