"concept_id_1","concept_id_2","Patient.Count","Event.Count","concept_name.y","concept_name.x"
4092513,45561819,215690,2687978,"Malignant neoplasm of overlapping sites of left female breast","Malignant neoplasm of overlapping sites of breast"
197610,37200901,1026330,2680666,"Unspecified ovarian cyst, left side","Cyst of ovary"
198985,45586019,216585,2650152,"Malignant neoplasm of left kidney, except renal pelvis","Primary malignant neoplasm of kidney"
444131,45579614,1724019,2644543,"Unspecified injury of right lower leg, initial encounter","Injury of lower leg"
444131,45584473,1717967,2644300,"Unspecified injury of left lower leg, initial encounter","Injury of lower leg"
37170718,45557719,446515,2632808,"Pressure ulcer of left buttock, stage 2","Pressure injury of left buttock stage II"
4092513,45576327,212425,2631634,"Malignant neoplasm of overlapping sites of right female breast","Malignant neoplasm of overlapping sites of breast"
40481089,45543229,612150,2585956,"Acute embolism and thrombosis of unspecified deep veins of right lower extremity","Embolism from thrombosis of vein of lower extremity"
45768450,45605864,831366,2580320,"Varicose veins of bilateral lower extremities with pain","Pain due to varicose veins of lower extremity"
762207,45572540,461840,2579950,"Adhesive capsulitis of left shoulder","Adhesive capsulitis of left shoulder"
35226292,45537840,355267,2550635,"Secondary malignant neoplasm of right lung","Metastasis to right lung"
44782715,45576935,153287,2489946,"Chronic venous hypertension (idiopathic) with ulcer of right lower extremity","Chronic peripheral venous hypertension with lower extremity complication"
197304,45576935,153287,2489946,"Chronic venous hypertension (idiopathic) with ulcer of right lower extremity","Ulcer of lower extremity"
762206,45543683,466615,2468962,"Adhesive capsulitis of right shoulder","Adhesive capsulitis of right shoulder"
4172970,45562827,622554,2465583,"Incomplete rotator cuff tear or rupture of right shoulder, not specified as traumatic","Nontraumatic rotator cuff tear"
78619,45584143,1268045,2441393,"Contusion of right knee, initial encounter","Contusion of knee"
135350,45543779,318026,2438332,"Other acute osteomyelitis, right ankle and foot","Acute osteomyelitis of ankle and/or foot"
4302739,45591935,1090778,2423637,"Pain in right thigh","Thigh pain"
78619,45535966,1250779,2404254,"Contusion of left knee, initial encounter","Contusion of knee"
36685980,45548957,1347677,2384934,"Localized swelling, mass and lump, left lower limb","Localized swelling of left lower limb"
43530742,45567205,243020,2349418,"Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting left non-dominant side","Paralytic syndrome on one side of the body as late effect of cerebrovascular accident"
4002956,45577353,814168,2331853,"Metatarsalgia, right foot","Metatarsalgia"
762213,45533935,775549,2323944,"Bursitis of left shoulder","Bursitis of left shoulder"
35611566,45596234,432326,2322172,"Atherosclerosis of native arteries of extremities with rest pain, bilateral legs","Bilateral lower limb pain at rest due to atherosclerosis"
73560,45543687,1166040,2310458,"Calcaneal spur, right foot","Calcaneal spur"
136834,45569468,344719,2296255,"Displaced intertrochanteric fracture of left femur, initial encounter for closed fracture","Closed intertrochanteric fracture"
42537748,45581085,235521,2276980,"Acquired absence of other right toe(s)","Acquired absence of organ"
4093531,45581085,235521,2276980,"Acquired absence of other right toe(s)","Absence of toe"
135350,45558071,295366,2268832,"Other acute osteomyelitis, left ankle and foot","Acute osteomyelitis of ankle and/or foot"
73560,45587061,1157901,2247156,"Calcaneal spur, left foot","Calcaneal spur"
36685978,45592413,1268598,2239938,"Localized swelling, mass and lump, right lower limb","Localized swelling of right lower limb"
4158563,45561813,135640,2222071,"Malignant neoplasm of upper-inner quadrant of left female breast","Primary malignant neoplasm of upper inner quadrant of breast"
36712806,45605828,407426,2218375,"Atherosclerosis of native arteries of extremities with intermittent claudication, right leg","Intermittent claudication of right lower limb co-occurrent and due to atherosclerosis"
37110250,45605828,407426,2218375,"Atherosclerosis of native arteries of extremities with intermittent claudication, right leg","Atherosclerosis of artery of lower limb"
4302739,45587065,1015991,2204007,"Pain in left thigh","Thigh pain"
77963,45567654,538521,2202537,"Achilles tendinitis, right leg","Achilles tendinitis"
35225630,45552281,319775,2196514,"Secondary malignant neoplasm of left lung","Metastasis to left lung"
380706,45557465,1321431,2189406,"Regular astigmatism, right eye","Regular astigmatism"
437116,45564098,733188,2179393,"Unspecified fracture of the lower end of left radius, initial encounter for closed fracture","Closed fracture of distal end of radius"
46269757,45601256,236789,2179034,"Non-pressure chronic ulcer of other part of left lower leg with fat layer exposed","Chronic ulcer of skin of lower leg"
